epub	1.1.1	r"/"
elasticlunr-rs	0.2.2	"^(.+?)([^s])s$"
elasticlunr-rs	0.2.2	"^(.+?)eed$"
elasticlunr-rs	0.2.2	"^(.+?)(ed|ing)$"
elasticlunr-rs	0.2.2	"(at|bl|iz)$"
elasticlunr-rs	0.2.2	"([^aeiouylsz]{2})$"
elasticlunr-rs	0.2.2	"^(.+?[^aeiou])y$"
elasticlunr-rs	0.2.2	"^(.+?)(icate|ative|alize|iciti|ical|ful|ness)$"
elasticlunr-rs	0.2.2	"^(.+?)(s|t)(ion)$"
elasticlunr-rs	0.2.2	"^(.+?)e$"
eliza	1.0.0	r"(.*) you are (.*)"
eliza	1.0.0	r"(.*) you are (.*)"
eliza	1.0.0	r"(.*) you are (.*)"
chema	0.0.5	"^\\s*\\*"
chema	0.0.5	"^\\s*@(\\w+)\\s+(.*)"
chord3	0.3.0	r"^\s*#"
chord3	0.3.0	r"\{(?P<cmd>\w+)(?::?\s*(?P<arg>.*))?\}"
chord3	0.3.0	r"\{(eot|end_of_tab):?\s*"
chord3	0.3.0	r"([^\[]*)(?:\[([^\]]*)\])?"
checkmail	0.1.1	"^[a-zA-Z0-9.!#$%&'*+/=?^_`{|}~-]+@[a-zA-Z0-9](?:[a-zA-Z0-9-]{0,61}[a-zA-Z0-9])?(?:\\.[a-zA-Z0-9](?:[a-zA-Z0-9-]{0,61}[a-zA-Z0-9])?)*$"
cntk	0.2.1	r"\b\w\w+\b"
cntk	0.2.1	r"\b\w\w+\b"
upm_lib	0.3.0	r"^(\d+)\.(\d+)\.(\d+)(?:-([\dA-Za-z-]+(?:\.[\dA-Za-z-]+)*))?(?:\+([\dA-Za-z-]+(?:\.[\dA-Za-z-]+)*))?$"
wright	0.4.2	r"([[:alpha:]][[[:alnum:]]_]*)"
avro	0.2.1	r"^\s*(\*+(\s+))?"
avro	0.2.1	r"^\s*(\*+)?"
nomi	0.0.2	"[0-9]+"
nodes	0.1.0	"([0-9]+)@(?:nodes|n)?:([^@]+)?"
not-stakkr	1.0.0	r"(?i)in (\d+) (second|minute|hour|day|week)s?"
